id,language,set,key,text,created,updated,delete
1,english,retailer,"retailer email order_info","Order Info","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
2,dutch,retailer,"retailer email order_info","Order Info","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
3,finnish,retailer,"retailer email order_info",Tilausinfo,"2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
4,french,retailer,"retailer email order_info","Informations de commande","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
5,german,retailer,"retailer email order_info","Informationen zur Bestellung","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
6,spanish,retailer,"retailer email order_info","Información del pedido","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
7,swedish,retailer,"retailer email order_info",Beställningsinfo,"2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
8,english,retailer,"retailer email customer_details","Customer Details","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
9,dutch,retailer,"retailer email customer_details",Klant,"2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
10,finnish,retailer,"retailer email customer_details","Asiakkaan tiedot","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
11,french,retailer,"retailer email customer_details","Détails du client","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
12,german,retailer,"retailer email customer_details",Kunde,"2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
13,spanish,retailer,"retailer email customer_details","Datos del cliente","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
14,swedish,retailer,"retailer email customer_details",Kunddetaljer,"2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
15,german,retailer,"retailer email registered_interest_msg","Dieser Kunde zeigt Interesse an folgenden Konzepten. ","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
16,german,retailer,"retailer email registered_interest_title","Produktanfrage - Bestandskunde","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
17,german,retailer,"retailer orders table col credit",Gutschrift,"2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
18,german,agents_emails,"agent_app email fulfilment_date","Voraussichtliches Erfüllungsdatum","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
19,german,agents_emails,"agent_app email full_name","Vollständiger Name","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
20,german,agents_emails,"agent_app email discount_AVH","Abverkaufshilfe für das","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
21,german,agents_emails,"agent_app email email_new_brochure_order_brochures","Über die folgenden Links können Sie die Broschüren herunterladen","2019-11-15 16:22:22","2024-06-06 13:07:02",NULL
22,german,agents_emails,"agent_app email subject new_application","Neukunde Kundendatenerfassungsbogen","2019-11-15 16:22:22","2024-10-17 13:08:16",NULL
23,german,agents_emails,"agent_app email newsletter_confirm_line_1","Sie werden stets als Erster über neue Artikel und Angebote informiert.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
24,german,agents_emails,"agent_app email newsletter_confirm_line_2","Der Newsletter ist natürlich jederzeit über einen Link in der E-Mail abstellbar!","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
25,german,agents_emails,"agent_app email preferred_delivery","Gewünschter Liefertermin","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
26,german,agents_emails,"agent_app email discount_reason","Grund für den Rabatt","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
27,german,agents_emails,"agent_app email temp_account","Vorläufige Kundennummer","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
28,german,agents_emails,"agent_app email email_new_enquiry","Vielen Dank für Ihre Anfrage.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
29,german,agents_emails,"agent_app email email_new_brochure_order","Vielen Dank für Ihre letzte Anfrage nach einer Kopie unserer Broschüren","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
30,german,agents_emails,"agent_app email to_be_confirmed","Bestätigt werden","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
31,german,users,"users link register_account","Registrierung Sie sich für ein Konto.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
32,german,users,"users forgot_password button reset_password","Passwort zurücksetzen","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
33,german,users,"users error invalid_login","ungültiger Benutzername oder Passwort","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
34,german,users,"users error forgot_password password_reset_failed","Beim Zurücksetzen Ihres Passworts ist ein Problem aufgetreten. Bitte versuche es erneut.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
35,german,users,"users email forgot_password password_reset_intro","Ihr Passwort bei %s wurde zurückgesetzt. Klicken Sie auf den folgenden Link, um sich mit Ihrem neuen Passwort anzumelden:","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
36,german,users,"users email forgot_password password_reset_line_1","Sobald Sie eingeloggt sind, sollten Sie Ihr Passwort auf etwas ändern, an das Sie sich erinnern können.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
37,german,users,"users email forgot_password password_reset_title","Passwort zurücksetzen für %s","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
38,german,users,"users msg password_reset_success","Ihr Passwort wurde zurückgesetzt, %s! Bitte überprüfen Sie Ihre E-Mail auf Ihr neues temporäres Passwort.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
39,german,users,"users msg edit_profile_success","Dein Profil wurde erfolgreich geändert!","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
40,german,retailer,"retailer cart msg free_shipping","Sie haben sich für die KOSTENLOSE Zustellung qualifiziert","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
41,german,retailer,"retailer cart msg min_cart_value","Die Gesamtsumme Ihrer Bestellung liegt unter der Frachtfreigrenze von %1$s. Daher ist eine frachtfreie Lieferung leider nicht möglich. Die Frachtgebühr beträgt %3$s. ","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
42,german,retailer,"retailer cart msg order_complete_line_1","Ihre Bestellung wurde erfolgreich übermittelt und wird in Kürze von unserem Team bearbeitet","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
43,german,retailer,"retailer cart msg terms_and_conditions","Ich akzeptiere die gültigen","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
44,german,retailer,"retailer cart text complete_order","Bestellung abschließen","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
45,german,retailer,"retailer cart text make_changes","Müssen Sie Änderungen vornehmen?","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
46,german,retailer,"retailer cart text return_to_basket","Zurück zum Warenkorb","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
47,german,retailer,"retailer cart title order_complete","Bestellung ausgeführt","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
48,german,retailer,"retailer contact error captcha","Der CAPTCHA-Text stimmt nicht überein.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
49,german,retailer,"retailer email email_new_account_line_1","Vielen Dank für die Registrierung bei unserem H&H Online-Bestellsystems. Klicken Sie auf den unten stehenden Link, um Ihre Registrierung zu bestätigen und um Ihr Konto zu aktivieren.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
50,german,retailer,"retailer email email_new_account_title","H&H Online-Bestellsystems: Registrierung Kd. %s, %s","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
51,german,retailer,"retailer email email_verify_failed","Ein Nutzer hat versucht, ein Online-Konto zu beantragen. Die automatische Bestätigung ist jedoch fehlgeschlagen:","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
52,german,retailer,"retailer email email_verify_failed_title","Die Kontobestätigung für %s ist fehlgeschlagen","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
53,german,retailer,"retailer email email_verify_success_title","Kontoverifizierung erfolgreich %s %s","2019-11-15 16:22:22","2024-11-05 09:13:59",NULL
54,german,retailer,"retailer email register_success","Vielen Dank für die Registrierung, %s! Sie erhalten von uns per E-Mail eine Anfrage zur Registrierung. Bitte bestätigen Sie diese, damit die Registrierung erfolgreich angeschlossen werden kann.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
55,german,retailer,"retailer email verify_account title","Verifizieren Sie Ihr Konto","2019-11-15 16:22:22","2024-11-05 09:10:36",NULL
56,german,retailer,"retailer error validate_failed","Bei der Bestätigung Ihres Kontos ist ein Problem aufgetreten. Bitte versuche es erneut.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
57,german,retailer,"retailer orders mini_cart_title","Übersicht Warenkorb","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
58,german,retailer,"retailer orders msg email_new_order_customer","Vielen Dank für Ihre aktuelle Bestellung. Wir werden sie schnellstmöglich bearbeiten. Bestelldetails s.u.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
59,german,retailer,"retailer orders table col units","Stück ","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
60,german,retailer,"retailer orders text invoice_text_line_2","Alle Preise dieser Bestell-Bestätigung sind Kosten, die den tatsächlichen Preis nicht zwangsweise wiederspiegeln müssen.","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
61,german,retailer,"retailer orders title email_new_order_customer","Eingangsbestätigung H&H Online-Bestellung","2019-11-15 16:22:22","2024-11-05 08:47:44",NULL
62,german,retailer,"retailer orders web_order_confirmation",Bestellbestätigung,"2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
63,german,retailer,"retailer products button interested","Mehr Informationen","2020-03-11 10:53:05","2020-03-11 10:53:05",NULL
64,german,retailer,"retailer products msg express_interest","Ihr zuständiger Vertreter informiert Sie gerne über die unten stehenden History & Heraldry Konzepte. Klicken Sie einfach auf "Mehr Informationen".","2020-03-11 10:52:44","2020-03-11 10:52:44",NULL
65,german,retailer,"retailer products msg interest_expressed","Sie haben sich für diesen Deal registriert","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
66,german,retailer,"retailer products table col units","Stück ","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
67,german,retailer,"retailer products table paginate next","Nächste Seite","2019-11-15 16:22:22","2019-11-15 16:22:22",NULL
